Churn,InternetService,SeniorCitizen,gender,PhoneService,MultipleLines,Dependents,tenure,MonthlyCharges,Contract
0,2,0,1,1,0,0,63,110,0
0,1,0,0,0,0,0,70,65,0
0,2,0,0,1,1,0,8,64,1
1,1,0,0,1,0,0,1,46,0
0,2,0,1,1,0,0,16,20,0
0,1,0,0,0,1,1,11,25,1
1,1,0,1,1,0,0,11,75,1
0,1,0,0,1,0,1,41,88,0
0,2,0,1,1,0,1,14,76,0
0,2,0,0,1,1,0,61,89,1
0,2,0,0,1,0,0,20,89,0
1,2,0,0,1,0,0,47,106,2
0,1,0,1,1,1,1,2,60,2
0,1,0,1,1,1,1,41,60,1
0,2,0,0,1,0,0,72,25,0
0,2,0,0,1,0,1,72,80,0
0,2,0,0,1,0,0,46,96,0
1,1,0,1,1,1,0,1,20,0
0,1,0,1,0,1,1,29,45,0
0,2,0,0,1,0,0,37,100,2
0,1,0,1,1,1,0,19,62,1
0,2,0,0,1,1,1,49,78,2
0,2,0,1,1,1,1,13,44,2
0,1,0,0,1,0,0,22,50,0
0,2,1,0,1,0,0,53,97,2
1,2,0,1,1,1,0,24,50,2
0,1,0,0,1,0,0,37,20,0
1,2,0,1,1,0,1,6,55,2
1,2,0,0,1,0,0,7,80,0
1,1,0,0,1,1,1,12,20,0
0,1,0,0,1,0,0,71,25,0
0,1,0,1,1,1,1,26,82,0
0,1,0,0,1,1,0,6,46,0
0,2,0,1,1,0,0,32,88,0
0,2,0,0,1,0,0,47,59,0
0,2,0,0,1,0,1,31,21,0
0,2,0,0,1,0,1,52,84,0
0,2,0,0,0,0,0,60,61,0
0,2,0,0,1,1,0,48,66,0
0,2,0,1,1,1,0,45,19,0
1,1,0,0,1,0,0,39,80,0
1,1,1,0,1,1,0,1,86,1
1,2,0,1,1,0,0,1,70,0
1,1,0,0,1,0,0,6,79,0
0,1,0,1,1,0,0,9,76,0
0,2,0,1,1,0,1,72,114,0
0,1,1,1,0,1,0,71,52,0
0,2,0,1,1,0,1,71,20,1
0,1,0,0,1,0,0,64,95,1
0,1,0,0,1,0,1,28,20,0
0,2,0,0,1,0,1,70,115,0
1,2,1,1,1,0,0,39,96,0
0,1,0,0,1,0,1,16,20,2
1,1,1,1,1,1,0,66,111,0
0,2,1,0,1,1,0,21,95,0
1,1,0,0,1,0,0,44,85,0
0,2,1,0,1,0,0,54,99,1
0,1,0,1,1,1,0,4,57,0
0,1,1,0,1,0,0,60,110,0
0,2,0,1,1,0,0,26,92,2
0,1,0,0,1,1,1,24,79,0
0,2,0,1,1,1,1,53,19,2
0,1,0,0,1,1,1,46,19,0
0,2,0,0,1,0,1,56,89,2
0,1,0,0,1,1,0,7,59,0
1,2,0,0,1,1,0,1,86,1
0,2,0,1,1,0,0,1,46,0
0,1,0,1,1,0,0,60,20,0
0,1,0,1,1,1,0,61,21,2
1,1,0,0,0,0,0,42,34,0
0,1,0,1,1,0,0,27,20,0
1,1,0,0,1,1,1,9,85,1
0,2,0,0,1,0,0,72,20,2
0,2,0,0,1,0,0,23,20,1
1,1,1,0,1,0,0,47,95,0
0,1,1,0,1,1,0,54,19,0
0,2,1,1,1,1,0,2,96,1
0,2,0,1,0,0,0,38,60,2
0,2,1,0,1,0,0,47,100,0
0,2,0,1,1,0,0,22,56,1
0,2,0,1,1,0,0,2,91,2
0,1,0,0,1,1,1,72,79,0
1,1,1,1,0,0,0,58,45,0
0,1,0,1,1,0,1,69,79,0
0,2,0,1,1,0,0,18,70,0
0,1,0,0,1,1,1,55,20,0
0,2,0,0,1,0,0,46,101,2
0,2,0,1,1,0,0,5,19,1
1,1,0,0,0,1,0,4,34,1
1,1,1,1,1,1,0,5,90,0
0,1,0,0,1,1,1,65,61,0
0,2,0,1,1,1,0,35,21,1
0,1,1,0,1,1,0,45,97,2
0,2,0,0,1,1,0,2,20,2
0,1,0,0,1,0,1,22,80,0
0,1,0,1,1,1,1,70,69,0
0,2,0,0,1,0,1,30,66,0
0,2,0,1,1,1,0,61,108,2
0,2,0,0,1,1,0,29,20,0
1,2,0,1,1,0,0,61,106,1
1,2,0,1,1,0,1,25,90,1
0,1,0,1,1,1,0,71,113,0
0,1,0,0,0,0,0,1,35,0
0,2,0,0,1,0,1,62,70,2
0,2,0,1,1,0,0,64,74,0
0,1,0,0,1,0,1,64,91,1
0,2,1,1,1,1,0,29,84,2
1,2,0,0,1,0,0,2,71,1
0,1,0,1,1,0,0,1,20,0
1,1,0,1,1,1,0,1,51,0
0,2,0,0,1,0,1,45,25,0
0,1,0,1,1,0,0,66,114,0
1,2,0,0,1,1,0,54,107,0
0,1,0,0,1,1,1,70,80,2
1,2,1,1,1,0,0,37,92,0
1,1,1,1,1,1,0,3,80,1
0,2,0,1,1,0,1,23,55,0
0,1,1,0,1,0,0,60,100,2
0,2,0,0,0,0,0,35,33,1
0,2,0,0,1,0,1,27,74,2
0,1,0,0,0,0,1,24,52,0
1,1,1,0,1,0,0,2,94,0
1,2,0,1,1,0,0,67,91,0
1,2,0,1,1,0,0,2,48,0
1,1,0,0,1,1,0,1,20,1
1,1,0,0,1,1,1,1,79,2
0,2,0,0,1,0,0,14,54,1
0,1,1,1,1,1,0,38,95,0
1,2,0,0,1,0,0,1,70,2
0,1,0,0,1,1,0,2,70,1
1,1,0,0,1,0,0,12,79,0
0,2,0,1,1,1,1,31,98,1
0,2,0,1,1,0,1,35,72,0
0,1,1,1,1,1,0,72,110,0
1,2,0,0,1,1,1,8,94,2
1,1,0,1,1,1,0,10,98,1
1,1,1,0,1,0,0,5,69,1
0,2,0,1,1,0,1,63,84,0
0,2,0,0,1,0,0,71,26,2
0,1,1,0,1,1,0,46,104,0
0,1,0,0,1,1,1,52,23,2
1,2,0,1,1,0,0,1,46,0
1,1,0,1,1,1,0,1,80,0
0,2,0,0,1,0,0,72,113,1
1,1,0,0,1,1,0,3,84,0
0,2,0,1,1,0,0,28,61,0
0,1,0,0,1,1,1,39,51,0
0,2,0,0,1,1,0,33,26,0
0,2,0,0,0,0,0,12,61,0
1,2,0,1,1,0,1,1,74,0
0,1,0,1,1,1,0,6,79,0
0,2,0,1,1,1,0,3,86,2
1,1,0,1,1,1,0,4,88,0
0,1,0,1,1,0,1,34,90,0
0,2,0,1,1,0,0,1,20,0
1,2,1,0,1,0,0,15,96,1
1,2,0,1,0,0,1,1,25,1
1,2,0,0,1,0,0,3,51,1
1,1,0,1,1,1,0,1,20,0
0,2,0,0,1,0,0,3,20,1
0,2,0,0,1,0,1,30,81,2
1,2,0,0,1,0,0,5,54,2
0,1,1,1,1,1,0,68,20,1
0,1,0,0,1,0,0,1,20,0
1,2,0,0,1,0,0,5,80,0
1,2,0,0,1,0,0,1,71,0
0,1,0,1,1,1,1,13,20,0
0,2,0,0,1,1,0,35,80,1
0,1,0,1,1,1,1,4,70,0
0,1,0,1,0,1,0,9,25,0
0,1,1,0,1,0,0,45,86,0
0,1,0,0,0,0,0,21,28,0
1,1,0,0,1,1,0,26,89,2
1,2,0,0,1,1,0,1,85,2
1,1,1,0,1,0,0,2,89,0
0,1,0,0,1,0,0,11,70,0
0,2,0,0,1,1,0,59,109,0
0,1,0,0,1,0,0,31,84,0
0,1,0,0,1,1,1,54,25,1
0,2,0,0,1,1,1,16,19,1
1,2,1,1,1,0,0,9,55,0
1,2,0,0,1,1,0,21,97,0
0,1,0,1,1,1,0,1,21,1
0,1,0,0,1,1,0,23,54,0
1,1,1,1,1,1,0,7,74,0
0,2,0,1,1,1,0,21,104,1
0,2,0,0,1,0,0,65,108,0
1,2,0,1,0,0,0,4,45,2
0,2,0,1,1,0,1,72,112,0
0,2,1,1,0,0,0,68,42,0
0,2,0,0,1,0,1,67,85,2
1,2,0,1,1,0,0,1,79,0
0,2,0,0,1,0,0,69,96,1
0,1,0,1,1,1,0,60,90,2
1,1,0,1,1,1,0,3,88,0
0,2,0,1,0,0,1,63,59,0
0,1,0,1,1,1,1,71,91,0
1,1,0,0,1,1,0,35,86,0
1,1,0,0,1,1,0,34,70,1
0,2,0,1,1,1,1,53,70,0
0,1,0,1,0,0,0,17,34,0
1,1,0,0,1,1,1,1,60,0
0,1,0,1,1,0,0,56,81,0
1,2,0,1,1,1,1,7,50,2
0,1,0,1,1,0,0,67,111,0
0,1,0,1,1,0,0,11,61,2
0,2,0,1,1,1,1,1,20,1
0,2,0,1,1,0,0,2,25,0
0,2,0,0,1,0,0,69,105,0
1,1,0,1,1,0,0,1,80,0
0,2,0,0,1,1,0,21,90,2
0,1,1,1,1,1,0,72,97,0
0,1,1,0,1,0,0,2,84,1
0,2,0,1,1,0,0,57,21,2
1,2,0,1,1,0,0,1,90,0
1,1,0,1,1,1,0,4,81,0
0,2,0,0,1,0,0,2,19,0
0,2,0,0,1,0,0,9,77,0
0,1,0,0,1,1,0,71,111,0
0,1,0,0,1,1,1,13,19,0
0,1,0,1,1,1,1,50,45,2
1,2,1,1,1,0,0,10,90,2
0,1,1,1,1,1,0,64,94,2
1,1,0,0,1,1,1,1,70,1
0,2,0,1,0,0,0,2,25,2
0,2,0,0,1,0,0,30,110,0
1,2,0,1,1,0,0,7,90,1
0,2,0,1,1,0,0,26,19,0
0,2,0,1,1,0,0,20,50,0
0,2,0,0,1,0,0,72,26,0
1,1,0,0,1,0,1,13,56,0
0,1,0,1,1,1,0,70,85,0
0,2,0,1,0,0,0,3,30,0
1,2,0,1,1,0,0,2,76,0
0,1,1,0,1,0,0,72,116,0
1,1,1,1,1,0,0,33,84,0
1,2,1,1,1,0,0,15,74,2
0,2,0,1,0,0,0,1,29,0
1,1,1,1,1,0,0,55,99,0
0,1,0,1,1,1,1,5,64,1
1,1,0,1,1,0,0,3,80,0
0,1,0,0,1,1,0,65,90,2
0,1,0,1,1,1,1,39,60,0
0,2,0,1,1,1,0,70,25,2
0,2,0,1,1,0,0,34,116,2
0,1,0,1,1,1,0,30,50,0
0,1,0,0,0,1,0,12,50,2
0,2,0,1,1,0,1,9,20,0
0,1,0,0,0,0,0,49,56,0
0,2,0,0,1,1,0,7,44,1
0,2,1,0,1,0,0,38,83,0
0,2,0,1,1,0,0,63,109,1
1,2,1,1,1,0,0,1,72,0
0,2,0,1,1,0,0,30,90,2
0,2,0,0,1,0,0,23,74,0
0,1,0,0,1,1,0,57,70,0
0,1,1,0,1,1,0,70,76,1
0,1,0,1,1,1,1,71,107,2
0,2,0,1,1,1,1,20,50,1
0,1,0,0,1,0,1,72,25,0
0,2,0,1,1,1,0,22,70,2
0,1,0,1,1,1,0,15,26,0
1,1,0,0,0,1,0,9,49,0
1,1,0,0,1,0,0,38,105,0
0,1,1,1,0,1,0,7,30,0
0,2,0,0,1,0,0,26,73,0
0,1,0,0,1,0,0,56,60,1
0,1,0,0,1,1,0,49,20,0
0,1,0,0,1,1,0,3,70,0
1,1,1,1,1,1,0,1,74,0
0,1,1,0,1,1,0,70,20,0
0,1,0,0,1,1,0,23,56,0
0,2,0,0,1,0,0,65,60,1
1,1,1,1,1,0,0,69,108,0
1,1,0,0,1,0,0,1,55,0
1,2,0,1,1,0,0,24,90,0
0,1,0,0,1,1,0,25,95,1
0,2,0,0,1,1,0,17,20,0
0,1,0,1,1,1,0,32,70,0
0,1,0,1,1,1,1,68,20,0
0,1,0,0,1,1,1,70,20,0
0,1,0,1,1,0,1,54,105,1
1,1,0,0,1,1,0,15,19,2
0,1,0,1,1,1,1,71,67,1
0,2,0,1,1,0,0,70,20,2
0,1,1,0,1,1,0,53,96,2
0,2,0,0,1,0,0,2,80,2
0,2,1,0,1,0,0,59,79,2
0,1,0,0,1,0,0,22,84,0
0,1,0,0,1,1,1,22,76,1
0,1,0,0,0,1,0,57,50,0
1,1,0,0,1,1,0,1,71,0
1,1,0,0,1,1,1,10,102,0
0,2,1,0,1,0,0,55,52,1
0,1,0,0,1,0,1,43,24,1
1,2,1,0,0,0,0,18,48,2
0,1,0,0,1,1,1,2,81,2
0,2,0,0,1,1,1,52,25,0
0,2,0,1,1,0,0,60,61,0
0,1,0,0,1,1,0,59,83,0
0,2,0,0,1,0,0,69,104,0
1,1,0,1,1,0,0,14,101,1
0,1,0,0,0,0,1,43,60,0
0,1,0,0,1,1,1,12,19,1
0,1,0,0,1,1,1,8,20,1
0,2,0,0,1,0,1,3,69,0
0,1,0,1,1,1,1,58,105,2
0,1,0,0,1,1,1,13,63,2
0,2,0,1,1,0,0,23,20,2
0,2,0,0,1,1,0,17,79,2
0,1,0,1,1,1,0,52,109,0
1,2,0,1,1,1,0,32,79,1
0,2,0,0,0,0,0,36,35,0
0,2,1,1,1,0,0,67,25,1
0,1,1,1,1,0,1,29,104,0
0,2,0,0,1,0,0,65,111,0
1,1,1,1,1,1,0,41,84,1
0,2,0,1,1,1,1,60,66,0
0,2,0,0,1,0,0,53,20,0
0,1,0,0,1,1,0,68,25,2
1,2,1,1,1,0,0,2,75,0
0,2,0,1,0,0,1,61,34,2
0,1,0,1,1,0,1,41,20,1
0,2,1,1,1,1,0,69,74,2
0,1,1,1,1,1,1,35,76,0
1,2,0,1,1,0,0,7,51,1
0,2,1,0,1,0,0,50,25,2
0,2,0,1,1,1,1,36,64,2
0,2,0,0,1,0,0,48,100,1
0,1,0,0,1,1,0,71,82,1
0,1,1,1,1,1,0,65,109,0
0,2,0,0,1,0,0,23,94,2
0,1,1,0,1,1,0,66,64,1
0,1,0,0,0,0,1,5,25,0
0,1,1,1,1,1,0,72,113,0
0,2,0,0,1,0,0,2,20,0
0,2,0,0,1,0,0,12,19,0
1,1,0,1,1,0,1,3,92,0
0,1,0,1,1,1,0,72,89,0
0,2,1,1,1,0,0,18,59,0
0,2,0,1,1,0,0,39,54,0
0,1,1,0,1,1,0,26,86,0
0,2,0,0,1,0,0,72,65,2
0,2,0,1,1,0,0,3,24,1
1,1,0,1,1,1,0,1,60,2
1,2,0,0,1,1,1,34,87,2
0,1,0,0,1,1,0,11,76,2
0,2,0,1,1,1,0,66,20,1
1,2,0,0,1,1,0,2,81,2
0,1,0,0,1,0,0,8,66,0
0,2,0,0,1,0,0,33,70,0
0,2,0,0,1,1,0,72,26,0
0,2,0,0,1,0,0,58,60,2
0,2,0,1,1,1,1,30,84,0
1,1,0,1,0,1,0,5,25,1
0,2,1,0,1,0,1,46,110,2
0,1,0,1,1,0,0,4,70,0
0,2,0,0,1,0,0,40,65,1
0,1,0,1,1,1,0,72,84,1
1,1,0,1,1,1,1,49,100,2
1,1,0,0,1,1,0,1,55,1
1,2,0,1,1,1,0,52,85,2
0,2,0,0,1,0,1,72,20,2
0,2,1,0,0,0,1,28,39,1
0,1,0,1,1,1,0,33,91,2
0,1,0,0,1,1,1,10,74,0
1,2,0,0,1,0,0,16,93,0
1,2,0,0,1,0,1,22,70,0
0,2,0,0,1,0,0,58,25,2
0,1,0,1,1,1,0,72,110,1
0,2,0,1,1,1,0,10,54,2
0,2,0,0,1,1,0,5,20,0
1,2,0,0,1,0,0,2,71,0
1,1,0,0,1,1,0,2,71,1
0,1,0,0,1,1,0,2,54,0
0,1,0,0,1,1,1,53,104,0
1,2,1,1,1,0,0,25,89,0
0,1,0,0,1,1,1,64,113,1
0,1,0,0,1,0,0,2,46,1
0,2,0,1,1,0,1,16,69,2
0,2,0,0,1,0,0,39,48,0
0,1,0,1,1,0,0,35,26,0
0,1,0,0,1,1,0,31,76,0
1,1,0,0,1,1,0,5,54,1
0,1,1,1,1,1,0,72,112,2
0,1,0,1,1,1,0,2,91,0
0,1,0,0,1,1,0,61,90,0
1,2,0,0,1,1,0,31,65,0
1,2,0,1,0,1,0,2,40,2
0,2,0,1,1,0,1,1,21,1
0,2,0,0,1,0,1,1,20,1
0,1,0,1,1,1,0,59,20,0
1,1,0,0,1,0,0,1,96,2
1,2,0,0,1,1,0,9,45,2
1,1,0,0,1,1,1,14,92,1
0,1,0,0,1,1,0,12,87,0
0,2,0,0,1,1,0,47,74,2
0,2,0,0,1,0,1,7,49,0
0,1,0,0,1,0,1,28,90,0
0,1,0,0,1,0,1,70,20,1
0,2,0,0,1,1,1,26,20,0
1,1,0,0,1,1,1,61,99,0
0,2,0,0,1,0,0,70,102,0
0,2,0,0,1,1,0,1,20,1
1,1,1,0,1,1,0,37,97,0
1,1,0,1,1,0,1,60,91,0
1,1,1,1,1,0,1,71,105,0
0,1,0,1,1,0,0,31,101,0
0,2,0,1,1,0,1,14,20,2
0,2,0,1,1,1,1,50,103,0
0,2,0,1,1,0,1,1,20,0
1,1,1,1,1,0,0,41,100,0
1,2,1,1,1,1,0,30,50,2
0,2,1,1,1,0,1,64,24,1
0,2,1,1,1,0,0,7,64,1
0,2,0,1,1,0,1,1,75,0
0,2,0,1,1,0,0,51,84,0
0,2,0,0,1,0,1,50,80,0
0,2,0,1,1,0,1,44,20,0
0,2,0,0,1,1,0,65,105,2
1,2,1,0,0,0,0,1,26,2
1,1,0,1,1,0,0,2,45,0
0,1,0,0,1,0,0,48,102,0
1,2,0,0,1,0,0,6,110,0
0,2,0,0,1,0,0,35,62,0
0,2,0,0,0,0,0,22,50,2
0,2,0,1,0,0,1,72,61,1
0,2,1,0,1,1,1,55,76,2
0,1,0,1,1,1,1,69,106,0
0,2,1,1,1,1,0,72,73,0
1,2,1,0,1,0,0,1,91,0
0,1,0,0,1,1,1,26,105,2
0,2,0,1,1,1,1,23,21,1
0,2,0,0,1,0,0,2,20,0
1,1,0,1,1,1,0,2,76,0
0,1,1,0,1,1,0,40,104,0
1,1,0,0,1,0,0,1,95,0
1,2,1,0,1,0,0,27,75,2
1,2,0,0,1,0,1,9,65,0
1,1,1,0,1,1,0,50,88,1
0,1,0,1,1,0,1,46,20,0
0,2,0,0,1,0,0,15,25,0
0,2,0,0,1,1,0,23,79,1
0,2,0,0,1,0,0,2,59,0
1,2,0,1,1,0,0,18,91,1
0,1,1,0,1,1,0,70,76,0
0,2,0,0,1,0,1,9,49,0
0,2,0,1,1,1,1,30,68,1
0,2,0,1,1,0,1,15,75,1
0,1,1,1,1,1,0,39,91,0
